,Date,MarketPredicted,Team,Game Number,Regressor,Estimatororneigbor,Bookie Prediction,TeamAvg10Games,OpponentAvg10Games,OpponentFormOver10Games,Model Score Prediction,Model Result Prediction,FormulaPrediction,Real Score,System Result
480,"1148    2021/03/15
1182    2021/03/17
1213    2021/03/19
1246    2021/03/21
1269    2021/03/23
1286    2021/03/24
1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
Name: Date, dtype: object",Teamscore,Denver Nuggets,49,SVR,4,111,116.84,105.4,3.0,112.0,Over,Not conclusive,101,Incorrect
481,"1182    2021/03/17
1213    2021/03/19
1246    2021/03/21
1269    2021/03/23
1286    2021/03/24
1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
Name: Date, dtype: object",Teamscore,Denver Nuggets,50,SVR,4,115,114.82,109.1,2.0,112.0,Under,Prediction is UNDER 115,119,Incorrect
482,"1213    2021/03/19
1246    2021/03/21
1269    2021/03/23
1286    2021/03/24
1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
Name: Date, dtype: object",Teamscore,Denver Nuggets,51,SVR,4,114,113.87,108.7,4.0,112.0,Under,Prediction is UNDER 114,134,Incorrect
483,"1246    2021/03/21
1269    2021/03/23
1286    2021/03/24
1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
Name: Date, dtype: object",Teamscore,Denver Nuggets,52,SVR,4,115,113.92,118.2,6.0,110.5,Under,Not conclusive,106,Correct
484,"1269    2021/03/23
1286    2021/03/24
1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
Name: Date, dtype: object",Teamscore,Denver Nuggets,53,SVR,4,115,113.85,118.1,6.0,112.0,Under,Not conclusive,121,Incorrect
485,"1286    2021/03/24
1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
Name: Date, dtype: object",Teamscore,Denver Nuggets,54,SVR,4,114,114.72,108.6,4.0,112.0,Under,Not conclusive,87,Correct
486,"1316    2021/03/26
1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
Name: Date, dtype: object",Teamscore,Denver Nuggets,55,SVR,4,116,112.28,117.7,7.0,110.0,Under,Not conclusive,107,Correct
487,"1356    2021/03/28
1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
Name: Date, dtype: object",Teamscore,Denver Nuggets,56,SVR,4,111,111.78,105.0,6.0,113.0,Over,Not conclusive,123,Correct
488,"1389    2021/03/30
1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
Name: Date, dtype: object",Teamscore,Denver Nuggets,57,SVR,4,116,111.5,122.3,8.0,113.0,Under,Not conclusive,128,Incorrect
489,"1412    2021/04/01
1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
Name: Date, dtype: object",Teamscore,Denver Nuggets,58,SVR,4,116,114.25,118.0,7.0,120.0,Over,Not conclusive,139,Correct
490,"1473    2021/04/04
1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
Name: Date, dtype: object",Teamscore,Denver Nuggets,59,SVR,4,117,118.1,110.0,3.0,120.0,Over,Not conclusive,106,Incorrect
491,"1497    2021/04/06
1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
Name: Date, dtype: object",Teamscore,Denver Nuggets,60,SVR,4,116,116.58,110.7,6.0,114.0,Under,Not conclusive,97,Correct
492,"1519    2021/04/07
1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
Name: Date, dtype: object",Teamscore,Denver Nuggets,61,SVR,4,119,112.83,117.4,7.0,114.0,Under,Not conclusive,129,Incorrect
493,"1552    2021/04/09
1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
Name: Date, dtype: object",Teamscore,Denver Nuggets,62,SVR,4,116,115.27,118.1,7.0,120.5,Over,Not conclusive,120,Correct
494,"1579    2021/04/11
1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
Name: Date, dtype: object",Teamscore,Denver Nuggets,63,SVR,4,119,115.1,113.5,5.0,117.0,Under,Not conclusive,114,Correct
495,"1589    2021/04/12
1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
Name: Date, dtype: object",Teamscore,Denver Nuggets,64,SVR,4,116,118.14,108.6,4.0,120.5,Over,Not conclusive,121,Correct
496,"1636    2021/04/14
1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
Name: Date, dtype: object",Teamscore,Denver Nuggets,65,SVR,4,109,119.57,109.8,5.0,120.5,Over,Not conclusive,110,Correct
497,"1651    2021/04/16
1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
Name: Date, dtype: object",Teamscore,Denver Nuggets,66,SVR,4,109,117.93,110.9,9.0,117.0,Over,Prediction is OVER 109,89,Incorrect
498,"1713    2021/04/19
1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
1967    2021/05/05
Name: Date, dtype: object",Teamscore,Denver Nuggets,67,SVR,4,109,113.88,107.4,5.0,113.5,Over,Not conclusive,113,Correct
499,"1731    2021/04/21
1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
1967    2021/05/05
1990    2021/05/07
Name: Date, dtype: object",Teamscore,Denver Nuggets,68,SVR,4,109,111.09,103.3,2.0,113.5,Over,Not conclusive,120,Correct
500,"1766    2021/04/23
1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
1967    2021/05/05
1990    2021/05/07
2015    2021/05/08
Name: Date, dtype: object",Teamscore,Denver Nuggets,69,SVR,4,120,112.62,115.4,3.0,116.5,Under,Prediction is UNDER 120,119,Correct
501,"1788    2021/04/24
1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
1967    2021/05/05
1990    2021/05/07
2015    2021/05/08
2052    2021/05/11
Name: Date, dtype: object",Teamscore,Denver Nuggets,70,SVR,4,113,115.02,111.3,6.0,118.0,Over,Not conclusive,117,Correct
502,"1825    2021/04/26
1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
1967    2021/05/05
1990    2021/05/07
2015    2021/05/08
2052    2021/05/11
2084    2021/05/13
Name: Date, dtype: object",Teamscore,Denver Nuggets,71,SVR,4,120,113.67,113.1,3.0,115.5,Under,Prediction is UNDER 120,114,Correct
503,"1857    2021/04/28
1873    2021/04/29
1891    2021/05/01
1926    2021/05/03
1967    2021/05/05
1990    2021/05/07
2015    2021/05/08
2052    2021/05/11
2084    2021/05/13
2103    2021/05/14
Name: Date, dtype: object",Teamscore,Denver Nuggets,72,SVR,4,113,112.91,107.5,5.0,114.2,Over,Not conclusive,104,Incorrect
504,"7      2020/12/23
49     2020/12/26
78     2020/12/28
101    2020/12/29
145    2021/01/01
174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
Name: Date, dtype: object",Teamscore,Detroit Pistons,10,SVR,4,102,111.48,103.22,3.0,114.3,Over,Not conclusive,110,Correct
505,"7      2020/12/23
49     2020/12/26
78     2020/12/28
101    2020/12/29
145    2021/01/01
174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
Name: Date, dtype: object",Teamscore,Detroit Pistons,11,SVR,4,111,111.08,108.6,4.0,112.5,Over,Not conclusive,86,Incorrect
506,"49     2020/12/26
78     2020/12/28
101    2020/12/29
145    2021/01/01
174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
Name: Date, dtype: object",Teamscore,Detroit Pistons,12,SVR,4,113,109.58,109.1,5.0,112.5,Under,Not conclusive,101,Correct
507,"78     2020/12/28
101    2020/12/29
145    2021/01/01
174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
Name: Date, dtype: object",Teamscore,Detroit Pistons,13,SVR,4,108,107.79,115.5,5.0,112.5,Over,Not conclusive,120,Correct
508,"101    2020/12/29
145    2021/01/01
174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
Name: Date, dtype: object",Teamscore,Detroit Pistons,14,SVR,4,109,107.66,111.3,4.0,108.38,Under,Not conclusive,107,Correct
509,"145    2021/01/01
174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
Name: Date, dtype: object",Teamscore,Detroit Pistons,15,SVR,4,109,107.85,105.4,4.0,112.5,Over,Not conclusive,115,Correct
510,"174    2021/01/03
186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
Name: Date, dtype: object",Teamscore,Detroit Pistons,16,SVR,4,111,109.81,109.3,4.0,112.5,Over,Not conclusive,102,Incorrect
511,"186    2021/01/04
214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
Name: Date, dtype: object",Teamscore,Detroit Pistons,17,SVR,4,109,107.91,115.3,5.0,109.97,Over,Not conclusive,110,Correct
512,"214    2021/01/06
258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
Name: Date, dtype: object",Teamscore,Detroit Pistons,18,SVR,4,108,107.45,116.2,6.0,109.99,Over,Not conclusive,119,Correct
513,"258    2021/01/08
291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
Name: Date, dtype: object",Teamscore,Detroit Pistons,19,SVR,4,107,107.77,112.2,7.0,108.5,Over,Prediction is OVER 107,107,Incorrect
514,"291    2021/01/10
329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
Name: Date, dtype: object",Teamscore,Detroit Pistons,20,SVR,4,104,107.44,103.7,4.0,107.53,Over,Not conclusive,107,Correct
515,"329    2021/01/13
358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
Name: Date, dtype: object",Teamscore,Detroit Pistons,21,SVR,4,110,109.59,110.0,4.0,107.57,Under,Not conclusive,91,Correct
516,"358    2021/01/16
379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
Name: Date, dtype: object",Teamscore,Detroit Pistons,22,SVR,4,104,108.63,105.7,4.0,107.53,Over,Not conclusive,105,Correct
517,"379    2021/01/18
403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
Name: Date, dtype: object",Teamscore,Detroit Pistons,23,SVR,4,105,106.85,106.7,4.0,106.46,Over,Not conclusive,92,Incorrect
518,"403    2021/01/20
441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
Name: Date, dtype: object",Teamscore,Detroit Pistons,24,SVR,4,102,105.57,101.5,4.0,107.0,Over,Not conclusive,129,Correct
519,"441    2021/01/22
459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
Name: Date, dtype: object",Teamscore,Detroit Pistons,25,SVR,4,116,107.04,124.9,9.0,107.0,Under,Not conclusive,122,Incorrect
520,"459    2021/01/23
490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
Name: Date, dtype: object",Teamscore,Detroit Pistons,26,SVR,4,112,108.97,112.1,5.0,107.0,Under,Not conclusive,95,Correct
521,"490    2021/01/25
502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
Name: Date, dtype: object",Teamscore,Detroit Pistons,27,SVR,4,0,107.45,108.4,6.0,106.8,Over,Prediction is OVER 0,108,Correct
522,"502    2021/01/27
528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
Name: Date, dtype: object",Teamscore,Detroit Pistons,28,SVR,4,0,106.39,117.6,5.0,106.8,Over,Not conclusive,123,Correct
523,"528    2021/01/28
550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
Name: Date, dtype: object",Teamscore,Detroit Pistons,29,SVR,4,0,107.94,109.6,5.0,106.0,Over,Not conclusive,102,Correct
524,"550    2021/01/30
597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
853    2021/02/19
Name: Date, dtype: object",Teamscore,Detroit Pistons,30,SVR,4,109,107.32,113.4,6.0,103.5,Under,Not conclusive,95,Correct
525,"597    2021/02/02
640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
853    2021/02/19
881    2021/02/21
Name: Date, dtype: object",Teamscore,Detroit Pistons,31,SVR,4,109,107.77,112.2,5.0,103.5,Under,Not conclusive,96,Correct
526,"640    2021/02/05
659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
853    2021/02/19
881    2021/02/21
908    2021/02/23
Name: Date, dtype: object",Teamscore,Detroit Pistons,32,SVR,4,109,106.87,110.3,4.0,103.5,Under,Not conclusive,105,Correct
527,"659    2021/02/06
712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
853    2021/02/19
881    2021/02/21
908    2021/02/23
926    2021/02/24
Name: Date, dtype: object",Teamscore,Detroit Pistons,33,SVR,4,112,108.43,122.9,8.0,106.5,Under,Not conclusive,118,Incorrect
528,"712    2021/02/09
741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
853    2021/02/19
881    2021/02/21
908    2021/02/23
926    2021/02/24
970    2021/02/26
Name: Date, dtype: object",Teamscore,Detroit Pistons,34,SVR,4,116,107.11,124.4,9.0,106.0,Under,Not conclusive,107,Correct
529,"741    2021/02/11
747    2021/02/12
794    2021/02/14
826    2021/02/17
853    2021/02/19
881    2021/02/21
908    2021/02/23
926    2021/02/24
970    2021/02/26
999    2021/02/28
Name: Date, dtype: object",Teamscore,Detroit Pistons,35,SVR,4,104,105.29,105.7,6.0,103.5,Under,Not conclusive,90,Correct
530,"747     2021/02/12
794     2021/02/14
826     2021/02/17
853     2021/02/19
881     2021/02/21
908     2021/02/23
926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
Name: Date, dtype: object",Teamscore,Detroit Pistons,36,SVR,4,0,105.13,109.4,5.0,106.0,Over,Not conclusive,129,Correct
531,"794     2021/02/14
826     2021/02/17
853     2021/02/19
881     2021/02/21
908     2021/02/23
926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
Name: Date, dtype: object",Teamscore,Detroit Pistons,37,SVR,4,0,107.19,105.9,6.0,104.5,Over,Prediction is OVER 0,104,Correct
532,"826     2021/02/17
853     2021/02/19
881     2021/02/21
908     2021/02/23
926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
Name: Date, dtype: object",Teamscore,Detroit Pistons,38,SVR,4,109,105.08,116.2,6.0,103.07,Under,Not conclusive,102,Correct
533,"853     2021/02/19
881     2021/02/21
908     2021/02/23
926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
Name: Date, dtype: object",Teamscore,Detroit Pistons,39,SVR,4,113,105.01,111.6,3.0,103.0,Under,Prediction is UNDER 113,95,Correct
534,"881     2021/02/21
908     2021/02/23
926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
Name: Date, dtype: object",Teamscore,Detroit Pistons,40,SVR,4,107,105.05,107.8,6.0,103.0,Under,Not conclusive,99,Correct
535,"908     2021/02/23
926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
1189    2021/03/17
Name: Date, dtype: object",Teamscore,Detroit Pistons,41,SVR,4,108,105.55,116.9,8.0,104.5,Under,Not conclusive,116,Incorrect
536,"926     2021/02/24
970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
1189    2021/03/17
1205    2021/03/19
Name: Date, dtype: object",Teamscore,Detroit Pistons,42,SVR,4,109,106.73,119.3,7.0,105.5,Under,Not conclusive,113,Incorrect
537,"970     2021/02/26
999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
1189    2021/03/17
1205    2021/03/19
1242    2021/03/21
Name: Date, dtype: object",Teamscore,Detroit Pistons,43,SVR,4,111,105.91,111.0,5.0,103.0,Under,Not conclusive,86,Correct
538,"999     2021/02/28
1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
1189    2021/03/17
1205    2021/03/19
1242    2021/03/21
1287    2021/03/24
Name: Date, dtype: object",Teamscore,Detroit Pistons,44,SVR,4,108,103.85,115.2,6.0,103.0,Under,Not conclusive,111,Incorrect
539,"1032    2021/03/03
1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
1189    2021/03/17
1205    2021/03/19
1242    2021/03/21
1287    2021/03/24
1325    2021/03/26
Name: Date, dtype: object",Teamscore,Detroit Pistons,45,SVR,4,113,106.16,111.2,3.0,107.5,Under,Prediction is UNDER 113,111,Correct
540,"1049    2021/03/04
1073    2021/03/11
1107    2021/03/13
1155    2021/03/15
1189    2021/03/17
1205    2021/03/19
1242    2021/03/21
1287    2021/03/24
1325    2021/03/26
1338    2021/03/27
Name: Date, dtype: object",Teamscore,Detroit Pistons,46,SVR,4,115,103.99,119.4,6.0,103.0,Under,Not conclusive,92,Correct
